C,Si,Mn,P,S,Ni,Cr,Mo,Cu,V,Al,N,0.2% Proof Stress,Tensile Strength
0.24,0.24,0.64,0.015,0.013,0,0.074,0.019,0.05,0,0.011,0.006,300,480
0.28,0.19,0.8,0.01,0.012,0,0.06,0.22,0.04,0,0.016,0.0073,275,490
0.29,0.2,0.93,0.014,0.015,0.03,0.03,0.36,0.06,0,0.018,0.0045,310,530
0.13,0.23,0.66,0.01,0.01,0.08,0.06,0.51,0.13,0,0.004,0.0057,300,440
0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0,0.012,0.0082,241,431
0.09,0.32,0.48,0.02,0.017,0.023,1.05,0.52,0.04,0,0.009,0.0089,313,464
0.1,0.31,0.51,0.022,0.017,0.02,1.03,0.53,0.04,0,0.009,0.0076,291,462
0.1,0.3,0.49,0.02,0.018,0.023,1.04,0.5,0.04,0,0.009,0.0089,312,452
0.2,0.31,0.59,0.018,0.009,0,0.046,0.011,0.05,0,0.006,0.0056,280,480
0.2,0.28,0.6,0.018,0.008,0,0.045,0.01,0.05,0,0.005,0.0066,290,470
0.2,0.29,0.55,0.021,0.009,0,0.054,0.012,0.05,0,0.004,0.0058,285,470
0.21,0.21,0.62,0.014,0.014,0,0.046,0.019,0.05,0,0.008,0.003,315,500
0.11,0.3,0.48,0.012,0.01,0,0,0.51,0,0,0.005,0.0078,265,450
0.12,0.25,0.5,0.012,0.01,0,0,0.5,0,0,0.005,0.0068,270,460
0.13,0.31,0.48,0.006,0.007,0,0,0.49,0,0,0.005,0.006,260,450
0.14,0.4,0.67,0.007,0.004,0,0,0.6,0.03,0,0.004,0.007,395,520
0.22,0.22,0.82,0.015,0.006,0.05,0.06,0.18,0.08,0,0.005,0.0082,295,470
0.28,0.3,0.7,0.022,0.011,0.14,0.07,0.02,0.22,0,0.004,0.0097,300,520
0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0,0.01,0.0077,275,490
